sku,qty,price,group_price:Lista 2,group_price:Lista 3,group_price:Lista 4,group_price:Lista 5,group_price:Lista 6,group_price:Lista 7,use_config_backorders,status
00000009,0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1,1
CTG-01019,588.00,5.38,5.81,0.00,0.00,0.00,0.00,0.00,1,1
SBS-ESC1,2.00,1766.50,1909.50,0.00,0.00,0.00,0.00,0.00,1,1
ADB-01013-A,323.00,56.55,61.13,0.00,0.00,0.00,0.00,0.00,1,1
JGA-4040-E,52.00,1996.00,2115.80,0.00,0.00,0.00,0.00,0.00,1,1
D-PHC-4528,393.00,123.60,133.60,0.00,0.00,0.00,0.00,0.00,1,1
SBS-OVE3,2.00,2384.70,2577.70,0.00,0.00,0.00,0.00,0.00,1,1
SBS-7000,4.00,2645.20,2859.40,0.00,0.00,0.00,0.00,0.00,1,1
CTG-M01013,66.00,45.20,48.90,0.00,0.00,0.00,0.00,0.00,1,1
20012588,1239.12,23.00,23.00,0.00,0.00,0.00,0.00,0.00,1,1
D-PHC-4523,123.00,90.72,98.07,0.00,0.00,0.00,0.00,0.00,1,1
RP-25012,62.60,37.70,40.80,0.00,0.00,0.00,0.00,0.00,1,1
SAR-15025,11.00,3813.82,4122.74,0.00,0.00,0.00,0.00,0.00,1,1
BP-25038,57.45,26.50,28.50,0.00,0.00,0.00,0.00,0.00,1,1
CTG-V01019C,80.00,51.24,55.44,0.00,0.00,0.00,0.00,0.00,1,1
F74G-4AN-QP3,4.00,2593.90,2803.90,0.00,0.00,0.00,0.00,0.00,1,1
H-2008,0.00,42.00,44.60,0.00,0.00,0.00,0.00,0.00,1,1
SCW-1028-A,7.00,14524.20,15700.00,0.00,0.00,0.00,0.00,0.00,1,1
S-118906,0.00,7.20,7.80,0.00,0.00,0.00,0.00,0.00,1,1
CTG-V01013,65.00,48.10,52.00,0.00,0.00,0.00,0.00,0.00,1,1
H-1580,25.00,436.50,462.70,0.00,0.00,0.00,0.00,0.00,1,1
SAR-15012,8.00,3592.55,3883.59,0.00,0.00,0.00,0.00,0.00,1,1
00850,907.00,8.06,8.70,0.00,0.00,0.00,0.00,0.00,1,1
CTG-M01025,113.00,62.00,67.00,0.00,0.00,0.00,0.00,0.00,1,1
D-PHC-4548,391.00,123.58,133.50,0.00,0.00,0.00,0.00,0.00,1,1
AM19573,5.00,1564.20,1690.90,0.00,0.00,0.00,0.00,0.00,1,1
CTG-M01019,71.00,48.80,52.80,0.00,0.00,0.00,0.00,0.00,1,1
15W40,33.00,86.90,93.90,0.00,0.00,0.00,0.00,0.00,1,1
MDO-F,-495.65,150.00,150.00,0.00,0.00,0.00,0.00,0.00,1,1
451-220-N,14.00,173.10,187.10,0.00,0.00,0.00,0.00,0.00,1,1
227-006-N,-1.00,84.00,90.80,0.00,0.00,0.00,0.00,0.00,1,1
D-VA-542,185.00,380.60,411.40,0.00,0.00,0.00,0.00,0.00,1,1
98079-56846,15.00,44.80,48.40,0.00,0.00,0.00,0.00,0.00,1,1
17210-ZE1-MX,5.00,142.80,153.50,0.00,0.00,0.00,0.00,0.00,1,1
THIN,50.00,31.90,34.50,0.00,0.00,0.00,0.00,0.00,1,1
QM-1458-EXT,31.00,114.20,123.50,0.00,0.00,0.00,0.00,0.00,1,1
FLG-HVG-315MX,0.00,2795.80,2963.50,0.00,0.00,0.00,0.00,0.00,1,1
1210-ROS16,2020.00,18.70,18.70,0.00,0.00,0.00,0.00,0.00,1,1
23106,27.00,5677.20,5791.40,0.00,0.00,0.00,0.00,0.00,1,1
00569CQA-2,71.00,246.80,251.80,0.00,0.00,0.00,0.00,0.00,1,1
04361,1326.00,308.60,314.80,0.00,0.00,0.00,0.00,0.00,1,1
00599,23.00,246.80,251.80,0.00,0.00,0.00,0.00,0.00,1,1
662-311,15.00,528.40,528.40,0.00,0.00,0.00,0.00,0.00,1,1
540-060,243.00,55.80,55.80,0.00,0.00,0.00,0.00,0.00,1,1
00577,46.00,211.60,215.80,0.00,0.00,0.00,0.00,0.00,1,1
00579,81.00,229.20,233.80,0.00,0.00,0.00,0.00,0.00,1,1
24003,44.00,11548.40,11780.60,0.00,0.00,0.00,0.00,0.00,1,1
B2615960,3.00,2560.15,2611.50,0.00,0.00,0.00,0.00,0.00,1,1
28081,38.00,3120.85,3183.50,0.00,0.00,0.00,0.00,0.00,1,1
662-111,11.00,528.40,528.40,0.00,0.00,0.00,0.00,0.00,1,1
01353,14.00,1093.10,1115.10,0.00,0.00,0.00,0.00,0.00,1,1
930-006,16.00,666.40,666.40,0.00,0.00,0.00,0.00,0.00,1,1
B2615683,0.00,3046.70,3107.90,0.00,0.00,0.00,0.00,0.00,1,1
662-411,5.00,528.40,528.40,0.00,0.00,0.00,0.00,0.00,1,1
697-419,44.00,698.70,698.70,0.00,0.00,0.00,0.00,0.00,1,1
662-113,39.00,528.40,528.40,0.00,0.00,0.00,0.00,0.00,1,1
03578,35.00,5042.50,5143.90,0.00,0.00,0.00,0.00,0.00,1,1
00551,47.00,546.60,557.60,0.00,0.00,0.00,0.00,0.00,1,1
581-060,95.00,73.97,73.97,0.00,0.00,0.00,0.00,0.00,1,1
661-635,1.00,528.40,528.40,0.00,0.00,0.00,0.00,0.00,1,1
04367,1758.00,257.40,262.60,0.00,0.00,0.00,0.00,0.00,1,1
690-375-50,8.00,3568.80,3568.80,0.00,0.00,0.00,0.00,0.00,1,1
451-085,5.00,727.00,727.00,0.00,0.00,0.00,0.00,0.00,1,1
314-480,94.00,187.50,187.50,0.00,0.00,0.00,0.00,0.00,1,1
