sku,claveProducto,qty,price,group_price:Lista 2,group_price:Lista 3,group_price:Lista 4,group_price:Lista 5,group_price:Lista 6,group_price:Lista 7,use_config_backorders,status
CTG-01019,300000002,215.00,5.38,5.81,0.00,0.00,0.00,0.00,0.00,1,1
SBS-ESC1,300000003,-17.00,1766.50,1909.50,0.00,0.00,0.00,0.00,0.00,1,1
ADB-01013-A,300000004,259.00,56.55,61.13,0.00,0.00,0.00,0.00,0.00,1,1
JGA-4040-E,300000005,35.00,1996.00,2115.80,0.00,0.00,0.00,0.00,0.00,1,1
D-PHC-4528,300000006,261.00,123.60,133.60,0.00,0.00,0.00,0.00,0.00,1,1
SBS-OVE3,300000007,-8.00,2384.70,2577.70,0.00,0.00,0.00,0.00,0.00,1,1
SBS-7000,300000008,0.00,2645.20,2859.40,0.00,0.00,0.00,0.00,0.00,1,1
CTG-M01013,300000009,26.00,45.20,48.90,0.00,0.00,0.00,0.00,0.00,1,1
20012588,300000010,1096.02,23.00,23.00,0.00,0.00,0.00,0.00,0.00,1,1
D-PHC-4523,300000011,33.00,90.72,98.07,0.00,0.00,0.00,0.00,0.00,1,1
SAR-15025,300000013,4.00,3813.82,4122.74,0.00,0.00,0.00,0.00,0.00,1,1
CTG-V01019C,300000015,24.00,51.24,55.44,0.00,0.00,0.00,0.00,0.00,1,1
F74G-4AN-QP3,300000016,1.00,2593.90,2803.90,0.00,0.00,0.00,0.00,0.00,1,1
SCW-1028-A,300000018,3.00,14524.20,15700.00,0.00,0.00,0.00,0.00,0.00,1,1
CTG-V01013,300000020,28.00,48.10,52.00,0.00,0.00,0.00,0.00,0.00,1,1
H-1580,300000021,4.00,436.50,462.70,0.00,0.00,0.00,0.00,0.00,1,1
SAR-15012,300000022,3.00,3592.55,3883.59,0.00,0.00,0.00,0.00,0.00,1,1
00850,300000023,310.00,8.06,8.70,0.00,0.00,0.00,0.00,0.00,1,1
CTG-M01025,300000024,53.00,62.00,67.00,0.00,0.00,0.00,0.00,0.00,1,1
D-PHC-4548,300000025,322.00,123.58,133.50,0.00,0.00,0.00,0.00,0.00,1,1
AM19573,300000026,-4.00,1564.20,1690.90,0.00,0.00,0.00,0.00,0.00,1,1
CTG-M01019,300000027,30.00,48.80,52.80,0.00,0.00,0.00,0.00,0.00,1,1
15W40,300000028,17.00,86.90,93.90,0.00,0.00,0.00,0.00,0.00,1,1
MDO-F,300000029,109.40,150.00,150.00,0.00,0.00,0.00,0.00,0.00,1,1
451-220-N,300000030,10.00,173.10,187.10,0.00,0.00,0.00,0.00,0.00,1,1
227-006-N,300000031,0.00,84.00,90.80,0.00,0.00,0.00,0.00,0.00,1,1
D-VA-542,300000032,101.00,380.60,411.40,0.00,0.00,0.00,0.00,0.00,1,1
98079-56846,300000033,3.00,44.80,48.40,0.00,0.00,0.00,0.00,0.00,1,1
17210-ZE1-MX,300000034,1.00,142.80,153.50,0.00,0.00,0.00,0.00,0.00,1,1
THIN,300000035,-5.00,31.90,34.50,0.00,0.00,0.00,0.00,0.00,1,1
QM-1458-EXT,300000036,10.00,114.20,123.50,0.00,0.00,0.00,0.00,0.00,1,1
1210-ROS16,300000038,1200.00,18.70,18.70,0.00,0.00,0.00,0.00,0.00,1,1
23106,300000039,12.00,5677.20,5791.40,0.00,0.00,0.00,0.00,0.00,1,1
00569CQA-2,300000040,34.00,246.80,251.80,0.00,0.00,0.00,0.00,0.00,1,1
04361,300000041,765.00,308.60,314.80,0.00,0.00,0.00,0.00,0.00,1,1
00599,300000042,9.00,246.80,251.80,0.00,0.00,0.00,0.00,0.00,1,1
662-311,300000043,9.00,528.40,528.40,0.00,0.00,0.00,0.00,0.00,1,1
540-060,300000044,144.00,55.80,55.80,0.00,0.00,0.00,0.00,0.00,1,1
00577,300000045,33.00,211.60,215.80,0.00,0.00,0.00,0.00,0.00,1,1
00579,300000046,43.00,229.20,233.80,0.00,0.00,0.00,0.00,0.00,1,1
24003,300000047,29.00,11548.40,11780.60,0.00,0.00,0.00,0.00,0.00,1,1
B2615960,300000048,3.00,2560.15,2611.50,0.00,0.00,0.00,0.00,0.00,1,1
28081,300000049,13.00,3120.85,3183.50,0.00,0.00,0.00,0.00,0.00,1,1
662-111,300000050,1.00,528.40,528.40,0.00,0.00,0.00,0.00,0.00,1,1
01353,300000051,7.00,1093.10,1115.10,0.00,0.00,0.00,0.00,0.00,1,1
930-006,300000052,10.00,666.40,666.40,0.00,0.00,0.00,0.00,0.00,1,1
662-411,300000054,3.00,528.40,528.40,0.00,0.00,0.00,0.00,0.00,1,1
697-419,300000055,37.00,698.70,698.70,0.00,0.00,0.00,0.00,0.00,1,1
662-113,300000056,28.00,528.40,528.40,0.00,0.00,0.00,0.00,0.00,1,1
03578,300000057,20.00,5042.50,5143.90,0.00,0.00,0.00,0.00,0.00,1,1
00551,300000058,32.00,546.60,557.60,0.00,0.00,0.00,0.00,0.00,1,1
581-060,300000059,54.00,73.97,73.97,0.00,0.00,0.00,0.00,0.00,1,1
